step,train_loss,val_loss,lr,temperature,grad_norm,sec_per_step
359,4.3415,4.4889,3.600e-04,0.0708,3.784,0.129
360,4.2463,4.4889,3.610e-04,0.0708,4.874,0.139
361,4.3329,4.4889,3.620e-04,0.0708,3.848,0.145
362,4.4138,4.4889,3.630e-04,0.0708,4.101,0.125
363,4.3340,4.4889,3.640e-04,0.0708,4.079,0.130
364,4.2498,4.4889,3.650e-04,0.0708,2.920,0.134
365,4.4890,4.4889,3.660e-04,0.0709,3.908,0.123
366,4.3898,4.4889,3.670e-04,0.0709,2.611,0.139
367,4.2465,4.4889,3.680e-04,0.0709,2.434,0.115
368,4.2764,4.4889,3.690e-04,0.0709,2.585,0.123
369,4.2683,4.4889,3.700e-04,0.0709,2.874,0.122
370,4.3524,4.4889,3.710e-04,0.0709,2.752,0.133
371,4.2987,4.4889,3.720e-04,0.0709,3.349,0.114
372,4.2671,4.4889,3.730e-04,0.0709,4.049,0.135
373,4.3994,4.4889,3.740e-04,0.0709,3.294,0.116
374,4.3066,4.4889,3.750e-04,0.0709,3.338,0.140
375,4.3108,4.4889,3.760e-04,0.0709,2.875,0.131
376,4.2422,4.4889,3.770e-04,0.0709,3.413,0.131
377,4.3856,4.4889,3.780e-04,0.0709,2.999,0.128
378,4.3084,4.4889,3.790e-04,0.0709,3.169,0.125
379,4.3840,4.4889,3.800e-04,0.0709,3.003,0.157
380,4.1388,4.4889,3.810e-04,0.0709,2.902,0.113
381,4.1884,4.4889,3.820e-04,0.0709,3.367,0.147
382,4.2606,4.4889,3.830e-04,0.0709,3.577,0.115
383,4.3104,4.4889,3.840e-04,0.0709,3.606,0.131
384,4.1489,4.4889,3.850e-04,0.0709,3.229,0.121
385,4.3409,4.4889,3.860e-04,0.0709,3.156,0.139
386,4.3721,4.4889,3.870e-04,0.0709,3.513,0.110
387,4.3378,4.4889,3.880e-04,0.0709,3.849,0.133
388,4.3510,4.4889,3.890e-04,0.0709,3.596,0.130
389,4.1843,4.4889,3.900e-04,0.0709,2.692,0.124
390,4.2327,4.4889,3.910e-04,0.0709,3.925,0.117
391,4.4476,4.4889,3.920e-04,0.0709,3.955,0.144
392,4.2355,4.4889,3.930e-04,0.0709,3.828,0.122
393,4.3725,4.4889,3.940e-04,0.0709,4.891,0.140
394,4.4276,4.4889,3.950e-04,0.0709,3.155,0.127
395,4.2065,4.4889,3.960e-04,0.0710,2.907,0.126
396,4.2603,4.4889,3.970e-04,0.0709,3.181,0.129
397,4.1457,4.4889,3.980e-04,0.0709,3.450,0.120
398,4.2342,4.4889,3.990e-04,0.0709,3.562,0.129
399,4.4141,4.4889,4.000e-04,0.0710,3.314,0.123
400,4.2506,4.3233,4.010e-04,0.0710,4.087,0.130
401,4.3547,4.3233,4.020e-04,0.0710,3.632,3.024
402,4.1346,4.3233,4.030e-04,0.0710,2.974,0.083
403,4.3145,4.3233,4.040e-04,0.0710,3.124,0.080
404,4.2739,4.3233,4.050e-04,0.0710,3.067,0.104
405,4.3568,4.3233,4.060e-04,0.0710,3.547,0.118
406,4.2624,4.3233,4.070e-04,0.0710,2.638,0.084
407,4.2600,4.3233,4.080e-04,0.0710,2.532,0.099
408,4.2737,4.3233,4.090e-04,0.0710,2.961,0.084
409,4.2778,4.3233,4.100e-04,0.0710,2.526,0.156
410,4.2046,4.3233,4.110e-04,0.0710,2.464,0.092
411,4.2780,4.3233,4.120e-04,0.0710,2.975,0.131
412,4.2933,4.3233,4.130e-04,0.0710,3.565,0.081
413,4.2600,4.3233,4.140e-04,0.0710,3.527,0.168
414,4.4495,4.3233,4.150e-04,0.0710,3.557,0.089
415,4.2328,4.3233,4.160e-04,0.0710,3.125,0.164
416,4.1943,4.3233,4.170e-04,0.0710,3.751,0.082
417,4.1742,4.3233,4.180e-04,0.0710,2.990,0.187
